n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
2.477521952195219456e+18,7.235567676910211787e+01,8.019442854784263611e+10,1.105224815909635276e+08,5.701410409281702042e+08,7.378649310165201314e+01,8.932468292012561035e+10,3.889870689307364955e+03,9.165077548324874078e+04
2.477821882188218880e+18,7.235274556137230206e+01,8.020899155240969849e+10,1.105420656070454717e+08,5.702445763823564053e+08,7.378351580825021472e+01,8.932468292012561035e+10,3.889643399382747702e+03,9.166741891703967121e+04
2.478121812181218304e+18,7.234981482354112359e+01,8.022355543839891052e+10,1.105616507603473812e+08,5.703481181029994488e+08,7.378053899532747550e+01,8.932468292012561035e+10,3.889416149201343615e+03,9.168406335817018407e+04
2.478421742174217728e+18,7.234688455547730257e+01,8.023812020575682068e+10,1.105812370507971942e+08,5.704516660897202492e+08,7.377756266274815289e+01,8.932468292012561035e+10,3.889188938751605292e+03,9.170070880657926318e+04
2.478721672167216640e+18,7.234395475704945966e+01,8.025268585443028259e+10,1.106008244783295393e+08,5.705552203421392441e+08,7.377458681037660426e+01,8.932468292012561035e+10,3.888961768021988519e+03,9.171735526220599422e+04
2.479021602160216064e+18,7.234102542812625813e+01,8.026725238436576843e+10,1.106204130428785533e+08,5.706587808598778248e+08,7.377161143807724386e+01,8.932468292012561035e+10,3.888734637000949988e+03,9.173400272498944832e+04
2.479321532153215488e+18,7.233809656857657444e+01,8.028181979551011658e+10,1.106400027443723977e+08,5.707623476425566673e+08,7.376863654571462803e+01,8.932468292012561035e+10,3.888507545676954578e+03,9.175065119486872572e+04
2.479621462146214912e+18,7.233516817826910028e+01,8.029638808781001282e+10,1.106595935827486217e+08,5.708659206897969246e+08,7.376566213315317100e+01,8.932468292012561035e+10,3.888280494038470351e+03,9.176730067178292666e+04
2.479921392139213824e+18,7.233224025707281157e+01,8.031095726121211243e+10,1.106791855579387993e+08,5.709695000012195110e+08,7.376268820025758544e+01,8.932468292012561035e+10,3.888053482073972191e+03,9.178395115567093308e+04
2.480221322132213248e+18,7.232931280485658476e+01,8.032552731566308594e+10,1.106987786698746979e+08,5.710730855764460564e+08,7.375971474689245611e+01,8.932468292012561035e+10,3.887826509771936799e+03,9.180060264647213626e+04
2.480521252125212672e+18,7.232638582148939577e+01,8.034009825110977173e+10,1.107183729184873998e+08,5.711766774150974751e+08,7.375674177292249567e+01,8.932468292012561035e+10,3.887599577120851791e+03,9.181725514412546181e+04
2.480821182118212096e+18,7.232345930684030577e+01,8.035467006749887085e+10,1.107379683037134111e+08,5.712802755167951584e+08,7.375376927821250206e+01,8.932468292012561035e+10,3.887372684109202055e+03,9.183390864857014094e+04
2.481121112111211008e+18,7.232053326077837596e+01,8.036924276477706909e+10,1.107575648254815191e+08,5.713838798811602592e+08,7.375079726262724478e+01,8.932468292012561035e+10,3.887145830725477026e+03,9.185056315974520112e+04
2.481421042104210432e+18,7.231760768317272436e+01,8.038381634289120483e+10,1.107771624837246239e+08,5.714874905078147650e+08,7.374782572603159281e+01,8.932468292012561035e+10,3.886919016958171142e+03,9.186721867758997541e+04
