n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
2.447828882888288768e+18,7.264843146516865602e+01,7.875706306596279907e+10,1.085893045107646435e+08,5.599221134182087183e+08,7.408387203787582109e+01,7.675740566164265601e+02,3.912571065667813855e+03,9.000807207538608054e+04
2.448128812881288192e+18,7.264545306046177586e+01,7.877153854407356262e+10,1.086087756066081226e+08,5.600250266044169664e+08,7.408084647775744713e+01,7.675727071783890096e+02,3.912339783201891805e+03,9.002461547894121031e+04
2.448428742874287616e+18,7.264247513892836139e+01,7.878601490893565369e+10,1.086282478464021385e+08,5.601279460949699879e+08,7.407782141182993030e+01,7.675713580709609687e+02,3.912108541646220147e+03,9.004115989592648111e+04
2.448728672867287040e+18,7.263949770043166154e+01,7.880049216049485779e+10,1.086477212300796062e+08,5.602308718894817829e+08,7.407479683995198627e+01,7.675700092940213608e+02,3.911877340988776268e+03,9.005770532627981447e+04
2.449028602860285952e+18,7.263652074483503895e+01,7.881497029869665527e+10,1.086671957575706840e+08,5.603338039875661135e+08,7.407177276198245863e+01,7.675686608474478589e+02,3.911646181217537560e+03,9.007425176993903005e+04
2.449328532853285376e+18,7.263354427200187047e+01,7.882944932348695374e+10,1.086866714288072437e+08,5.604367423888370991e+08,7.406874917778019096e+01,7.675673127311197277e+02,3.911415062320487323e+03,9.009079922684223857e+04
2.449628462846284800e+18,7.263056828179566082e+01,7.884392923481137085e+10,1.087061482437215447e+08,5.605396870929089785e+08,7.406572608720415474e+01,7.675659649449157769e+02,3.911183984285614315e+03,9.010734769692731788e+04
2.449928392839284224e+18,7.262759277407987213e+01,7.885841003261573792e+10,1.087256262022448033e+08,5.606426380993957520e+08,7.406270349011327880e+01,7.675646174887143616e+02,3.910952947100919118e+03,9.012389718013226229e+04
2.450228322832283136e+18,7.262461774871815123e+01,7.887289171684562683e+10,1.087451053043067753e+08,5.607455954079113007e+08,7.405968138636667675e+01,7.675632703623945190e+02,3.910721950754390491e+03,9.014044767639500787e+04
2.450528252825282560e+18,7.262164320557403130e+01,7.888737428744685364e+10,1.087645855498402119e+08,5.608485590180701017e+08,7.405665977582340531e+01,7.675619235658351727e+02,3.910490995234036745e+03,9.015699918565356347e+04
2.450828182818281984e+18,7.261866914451121602e+01,7.890185774436528015e+10,1.087840669387793094e+08,5.609515289294868708e+08,7.405363865834260650e+01,7.675605770989149050e+02,3.910260080527869377e+03,9.017355170784603979e+04
2.451128112811281408e+18,7.261569556539348014e+01,7.891634208754650879e+10,1.088035494710509032e+08,5.610545051417756081e+08,7.405061803378355023e+01,7.675592309615133217e+02,3.910029206623897153e+03,9.019010524291030015e+04
2.451428042804280320e+18,7.261272246808454156e+01,7.893082731693637085e+10,1.088230331465877295e+08,5.611574876545509100e+08,7.404759790200546377e+01,7.675578851535087779e+02,3.909798373510138845e+03,9.020665979078448436e+04
