n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility,Alloy Disorder Barrier Penetration,Alloy Disorder Only Channel
7.968468468468468480e+17,1.023872362135787313e+02,1.462784055456396866e+10,2.139996434904414788e+07,1.039964046297174394e+08,1.040438375407294274e+02,8.932468292012561035e+10,6.595246101750849448e+03,2.612114384743566043e+05,2.912295847877583667e+19,1.040438375407294274e+02
7.978378378378378240e+17,1.023447138073017584e+02,1.465513669867631340e+10,2.143797844287018478e+07,1.041904661412131935e+08,1.040007422233412910e+02,8.932468292012561035e+10,6.591660251556832009e+03,2.616988696192198258e+05,2.912295847877583667e+19,1.040007422233412910e+02
7.988288288288288000e+17,1.023022613828384095e+02,1.468244980026943398e+10,2.147601407674576342e+07,1.043846482116545737e+08,1.039577182182639632e+02,8.932468292012561035e+10,6.588079999155782389e+03,2.621866035762398969e+05,2.912295847877583667e+19,1.039577182182639490e+02
7.998198198198197760e+17,1.022598787393773705e+02,1.470977984882173920e+10,2.151407123777533323e+07,1.045789507662382275e+08,1.039147653192452907e+02,8.932468292012561035e+10,6.584505331080604265e+03,2.626746401575310738e+05,2.912295847877583667e+19,1.039147653192452907e+02
8.008108108108108800e+17,1.022175656769275349e+02,1.473712683383115959e+10,2.155214991308644414e+07,1.047733737303001136e+08,1.038718833208843932e+02,8.932468292012561035e+10,6.580936233902291860e+03,2.631629791755564511e+05,2.912295847877583667e+19,1.038718833208843932e+02
8.018018018018018560e+17,1.021753219963134427e+02,1.476449074481515884e+10,2.159025008983016014e+07,1.049679170293146074e+08,1.038290720186268175e+02,8.932468292012561035e+10,6.577372694229938134e+03,2.636516204431277583e+05,2.912295847877583667e+19,1.038290720186268175e+02
8.027927927927928320e+17,1.021331474991711872e+02,1.479187157131061363e+10,2.162837175518061966e+07,1.051625805888944566e+08,1.037863312087602452e+02,8.932468292012561035e+10,6.573814698710584707e+03,2.641405637734038173e+05,2.912295847877583667e+19,1.037863312087602452e+02
8.037837837837838080e+17,1.020910419879438820e+02,1.481926930287379265e+10,2.166651489633608982e+07,1.053573643347900957e+08,1.037436606884098467e+02,8.932468292012561035e+10,6.570262234029179126e+03,2.646298089798892033e+05,2.912295847877583667e+19,1.037436606884098467e+02
8.047747747747747840e+17,1.020490052658777245e+02,1.484668392908031082e+10,2.170467950051738694e+07,1.055522681928893179e+08,1.037010602555338750e+02,8.932468292012561035e+10,6.566715286908517555e+03,2.651193558764341869e+05,2.912295847877583667e+19,1.037010602555338750e+02
8.057657657657657600e+17,1.020070371370175195e+02,1.487411543952500153e+10,2.174286555496833101e+07,1.057472920892169327e+08,1.036585297089192181e+02,8.932468292012561035e+10,6.563173844109156562e+03,2.656092042772322311e+05,2.912295847877583667e+19,1.036585297089192039e+02
8.067567567567567360e+17,1.019651374062025724e+02,1.490156382382192230e+10,2.178107304695558921e+07,1.059424359499341995e+08,1.036160688481769370e+02,8.932468292012561035e+10,6.559637892429324893e+03,2.660993539968201076e+05,2.912295847877583667e+19,1.036160688481769370e+02
8.077477477477477120e+17,1.019233058790625961e+02,1.492902907160425377e+10,2.181930196376964822e+07,1.061376997013384402e+08,1.035736774737380728e+02,8.932468292012561035e+10,6.556107418704868905e+03,2.665898048500760924e+05,2.912295847877583667e+19,1.035736774737380586e+02
8.087387387387386880e+17,1.018815423620132634e+02,1.495651117252429771e+10,2.185755229272339493e+07,1.063330832698627412e+08,1.035313553868488583e+02,8.932468292012561035e+10,6.552582409809172532e+03,2.670805566522196168e+05,2.912295847877583667e+19,1.035313553868488583e+02
8.097297297297297920e+17,1.018398466622526684e+02,1.498401011625335121e+10,2.189582402115250379e+07,1.065285865820753872e+08,1.034891023895669946e+02,8.932468292012561035e+10,6.549062852653065420e+03,2.675716092188096954e+05,2.912295847877583667e+19,1.034891023895669946e+02
8.107207207207207680e+17,1.017982185877565371e+02,1.501152589248166656e+10,2.193411713641542941e+07,1.067242095646794736e+08,1.034469182847568050e+02,8.932468292012561035e+10,6.545548734184762907e+03,2.680629623657440534e+05,2.912295847877583667e+19,1.034469182847568050e+02
8.117117117117117440e+17,1.017566579472746753e+02,1.503905849091843224e+10,2.197243162589320168e+07,1.069199521445126235e+08,1.034048028760852844e+02,8.932468292012561035e+10,6.542040041389784164e+03,2.685546159092577873e+05,2.912295847877583667e+19,1.034048028760852844e+02
